Date,ExitDate,Year,Ticker,Strategy,Direction,PositionType,Entry,Exit,Outcome,ExitReason,RMultiple,Shares,PnL_$,HoldingDays,PyramidAdds
2026-02-20,2026-02-24,2026,KEYS,RelativeStrength_Ranker_Position,LONG,Partial,245.93,301.48,Win,Partial_2.5R_Stage1,3.77,54,2999.7,2,0
2026-02-25,2026-03-03,2026,AMAT,RelativeStrength_Ranker_Position,LONG,Full,394.95,359.88,Loss,StopLoss,-1.0,57,-1998.99,4,0
2026-03-02,2026-03-03,2026,NRG,GapReversal_Position,SHORT,Full,175.58,178.96,Loss,GapFillStop,-2.33,886,-6983.08,1,1
2026-03-02,2026-03-03,2026,AMCR,GapReversal_Position,SHORT,Full,48.15,48.43,Loss,GapFillStop,-2.17,10713,-6499.23,1,1
2026-03-02,2026-03-03,2026,KMB,GapReversal_Position,SHORT,Full,109.74,111.44,Loss,GapFillStop,-2.0,1764,-5997.6,1,1
2026-03-02,2026-03-03,2026,LII,GapReversal_Position,SHORT,Full,563.4,569.94,Loss,GapFillStop,-1.56,457,-4675.98,1,1
2026-03-03,2026-03-04,2026,AMCR,GapReversal_Position,SHORT,Full,47.17,48.15,Loss,GapFillStop,-1.0,2040,-1999.2,1,0
2026-03-03,2026-03-04,2026,LII,GapReversal_Position,SHORT,Full,552.3,563.4,Loss,GapFillStop,-1.0,180,-1998.0,1,0
2026-02-20,2026-03-05,2026,ADI,RelativeStrength_Ranker_Position,LONG,Full,353.92,332.51,Loss,StopLoss,-1.0,93,-1991.13,9,0
2026-02-20,2026-03-09,2026,GDDY,RelativeStrength_Ranker_Position,LONG,Full,139.28,133.66,Loss,StopLoss,-1.0,355,-1995.1,11,0
2026-02-26,2026-03-09,2026,PSKY,GapReversal_Position,LONG,Full,11.18,11.19,Win,EMA21_TrailingExit,0.01,1960,19.6,7,0
2026-03-02,2026-03-12,2026,WBD,RelativeStrength_Ranker_Position,LONG,Full,28.5,27.53,Loss,StopLoss,-1.0,2061,-1999.17,8,0
2026-03-04,2026-03-12,2026,EXPE,GapReversal_Position,LONG,Full,221.25,227.65,Win,EMA21_TrailingExit,0.45,454,1333.69,6,1
2026-03-12,2026-03-13,2026,MCO,GapReversal_Position,SHORT,Full,426.47,445.93,Loss,GapFillStop,-1.0,102,-1984.92,1,0
2026-03-18,2026-03-19,2026,MCO,GapReversal_Position,SHORT,Full,438.67,441.03,Loss,StopLoss,-1.0,847,-1998.92,1,0
2026-02-20,2026-03-19,2026,KEYS,RelativeStrength_Ranker_Position,LONG,Runner,245.93,290.21,Win,EndOfBacktest,3.01,81,3586.68,27,0
2026-03-04,2026-03-19,2026,INTC,RelativeStrength_Ranker_Position,LONG,Full,45.58,46.18,Win,EndOfBacktest,0.12,389,233.4,15,0
2026-03-10,2026-03-19,2026,AMAT,RelativeStrength_Ranker_Position,LONG,Full,345.88,357.21,Win,EndOfBacktest,0.32,57,645.81,9,0
2026-03-16,2026-03-19,2026,DAL,GapReversal_Position,LONG,Full,60.84,65.01,Win,EndOfBacktest,1.03,1940,4132.2,3,2
2026-03-19,2026-03-19,2026,MCO,GapReversal_Position,SHORT,Full,435.8,435.8,Win,EndOfBacktest,0.0,696,0.01,0,0
