Date,Open,High,Low,Close,Volume
2021-01-14,247.71372055743288,249.88581765216904,245.84924878700198,246.22213745117188,531800
2021-01-15,248.96287043738445,252.10450027863723,247.01450118612397,250.86463928222656,538800
2021-01-19,251.52649845766237,252.64519261752378,248.9162500174181,250.90191650390625,424100
2021-01-20,252.50540105303693,256.77505738710084,249.5502291954392,254.0715789794922,766300
2021-01-21,252.2070938835686,255.23686038476058,249.65274831838755,254.21139526367188,435900
2021-01-22,254.96646991364636,255.99193489754708,252.1977286819027,254.22999572753906,641500
2021-01-25,256.15966456690506,260.308123841,253.14853371865948,257.79107666015625,782700
2021-01-26,256.6818204346986,259.64632366650244,253.25119926897912,258.67681884765625,642600
2021-01-27,258.2292744432087,260.62512688597667,251.8341515550317,253.28843688964844,564700
2021-01-28,252.7477309093012,256.1690483442827,250.74342990387225,251.57310485839844,483500
2021-01-29,249.94171270114575,252.13247239851643,247.69504958444733,250.4637908935547,806100
2021-02-01,251.47984268342017,259.9258935370173,250.34251430282526,259.41314697265625,816800
2021-02-02,261.3243213055394,265.86430466565815,260.280221861271,262.7972412109375,1106100
2021-02-03,258.14545655322775,261.1006285397434,252.09525443007502,253.68003845214844,1308200
2021-02-04,253.26048689123718,257.8191047020369,251.610411483078,255.65631103515625,962200
2021-02-05,256.03850657417195,260.0471367978776,255.0037386948747,255.30203247070312,526200
2021-02-08,254.2858712104947,254.2858712104947,246.333903404721,248.9162139892578,824900
2021-02-09,248.93491902432103,250.79005912138092,246.436533963537,248.58999633789062,477800
2021-02-10,250.11885895693652,251.88079831134252,246.86536505120327,247.9933624267578,568100
2021-02-11,246.30595712234054,248.45011604781584,245.0754277659434,247.06106567382812,572000
2021-02-12,246.30598416642502,247.0610928008226,243.59317488931782,246.05429077148438,564400
2021-02-16,246.71615367640626,247.91874560443523,239.42606422525287,241.91514587402344,960700
2021-02-17,241.7659458748567,245.1779311442728,239.91080637424312,241.97103881835938,772700
2021-02-18,241.34651480891503,245.10342355407568,240.79647070851038,244.9915313720703,609400
2021-02-19,246.78144838962305,246.78144838962305,243.65845294338774,244.03134155273438,873300
2021-02-22,243.0990787943878,246.343269079361,239.0718424314933,242.1016082763672,861800
2021-02-23,239.04385375353846,240.71253491485115,230.4206606369718,231.93087768554688,1395600
2021-02-24,230.67242162947866,233.9911787008229,226.86889797390097,233.5343780517578,1345300
2021-02-25,233.40384125315595,240.33034548621492,232.76059636183862,239.1370849609375,1350500
2021-02-26,240.11595066768464,242.30671020324746,237.40314142784837,237.84129333496094,1676800
2021-03-01,240.61003731279197,242.6702702221009,230.74698200422878,231.13851928710938,795600
2021-03-02,231.87499439008684,232.12670202582677,226.4214237809798,229.63763427734375,924600
2021-03-03,228.379111164259,228.379111164259,219.52287149612934,222.95350646972656,1062400
2021-03-04,223.5128571186367,225.83412945250944,219.29916141569555,219.93307495117188,1376900
2021-03-05,221.03307646085696,227.4748139377759,217.09904091269527,225.7781524658203,1214700
2021-03-08,229.9452756741729,232.5275584841405,223.10266861869044,226.36549377441406,1061100
2021-03-09,228.05685880897354,234.5233739724207,228.05685880897354,231.719970703125,763600
2021-03-10,232.06575117520964,234.8971877264963,229.14087639071732,233.4674530029297,541000
2021-03-11,235.0466549780059,244.39133180060017,234.10284775210818,241.68138122558594,1081000
2021-03-12,241.7841639270894,245.72761876758295,239.99000191036396,243.9147491455078,956000
2021-03-15,243.26067726763637,249.00764883477888,242.4570200883881,248.08253479003906,664300
2021-03-16,250.4467131174691,253.83883564414558,247.6339560383156,252.24087524414062,706800
2021-03-17,252.94167520413066,253.7079454563838,247.28815780821796,250.1756591796875,698600
2021-03-18,247.77416614221454,250.48411743793076,244.09236021353385,250.12904357910156,707900
2021-03-19,250.47473740081514,253.5584694912475,248.3347983221354,248.6338348388672,1261100
2021-03-22,247.39100068327275,257.0533944864436,247.39100068327275,256.13763427734375,649700
2021-03-23,256.0628582188388,261.09965338727983,255.39939406079455,256.1750183105469,764300
2021-03-24,255.07229060389705,256.4272801504583,249.5402578939752,254.6050567626953,816200
2021-03-25,255.0629729832295,255.5862726196843,251.28771544792733,254.51161193847656,472000
2021-03-26,256.71691460263423,264.23936662511943,255.1563413185343,264.052490234375,521600
2021-03-29,262.60409571877506,264.8188080630192,260.22121455499456,262.9591979980469,598800
2021-03-30,260.56698144900577,261.32389803771525,255.85725604994172,258.1373596191406,453900
2021-03-31,254.4835585169994,260.9500870996238,254.30603590260574,259.3614807128906,734000
2021-04-01,263.14609002617624,263.14609002617624,258.24013497399636,262.75360107421875,798900
2021-04-05,262.58546774069936,266.7999269002074,261.88461684815303,266.4261169433594,469500
2021-04-06,265.3981215226318,267.0427649164894,262.75356255042766,266.7530822753906,466200
2021-04-07,267.407278226796,268.36042500648813,264.5945213475633,265.5663757324219,382600
2021-04-08,265.28609411263204,268.2109545556947,260.93147046867443,261.3146057128906,638000
2021-04-09,262.8376682480142,263.13670469770756,256.6047858793433,257.62335205078125,815800
2021-04-12,259.31483688125985,262.5761206590766,256.913247583734,262.10888671875,777700
2021-04-13,263.7348098885571,267.10822434957606,261.95929857466405,263.641357421875,627400
2021-04-14,263.5198991919786,266.3980472452981,261.93129264792896,262.61346435546875,378800
2021-04-15,263.6508564704944,270.02390755444014,263.6415026633664,269.5379943847656,872600
2021-04-16,271.09840995410684,271.36008828631384,267.18301653900033,269.43505859375,495300
2021-04-19,271.2479175679111,271.2479175679111,267.6034993952177,269.2107849121094,675900
